id,text,words,ner_tags,cleaned_text,lemmatized_text,gliner_entities,spacy_entities
en-doc6380-sent24,"For those who had a job , the February revolution gave freedom to reach for resolving long-term problems of their laborious working life ; the workers called for eight-hour-per-day working limits , better working conditions , and higher wages .","['For', 'those', 'who', 'had', 'a', 'job', ',', 'the', 'February', 'revolution', 'gave', 'freedom', 'to', 'reach', 'for', 'resolving', 'long-term', 'problems', 'of', 'their', 'laborious', 'working', 'life', ';', 'the', 'workers', 'called', 'for', 'eight-hour-per-day', 'working', 'limits', ',', 'better', 'working', 'conditions', ',', 'and', 'higher', 'wages', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",for those who had a job the february revolution gave freedom to reach for resolving long term problems of their laborious working life the workers called for eight hour per day working limits better working conditions and higher wages,for those who have a job the february revolution give freedom to reach for resolve long term problem of their laborious working life the worker call for eight hour per day work limit well working condition and high wage,"[{'start': 4, 'end': 23, 'text': 'those who had a job', 'label': 'person', 'score': 0.3565850257873535}, {'start': 143, 'end': 150, 'text': 'workers', 'label': 'organization', 'score': 0.4533209502696991}, {'start': 198, 'end': 223, 'text': 'better working conditions', 'label': 'miscellaneous', 'score': 0.3180670142173767}]",[]
en-doc6208-sent92,"However , Khatami is widely regarded as having been unsuccessful in achieving his goal of making Iran more free and democratic .","['However', ',', 'Khatami', 'is', 'widely', 'regarded', 'as', 'having', 'been', 'unsuccessful', 'in', 'achieving', 'his', 'goal', 'of', 'making', 'Iran', 'more', 'free', 'and', 'democratic', '.']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",however khatami is widely regarded as having been unsuccessful in achieving his goal of making iran more free and democratic,however khatami be widely regard as having be unsuccessful in achieve his goal of make iran more free and democratic,"[{'start': 10, 'end': 17, 'text': 'Khatami', 'label': 'person', 'score': 0.9774651527404785}, {'start': 97, 'end': 101, 'text': 'Iran', 'label': 'location', 'score': 0.9496710896492004}]","[{'text': 'khatami', 'start': 8, 'end': 15, 'label': 'PER'}, {'text': 'iran', 'start': 95, 'end': 99, 'label': 'LOC'}]"
en-doc6401-sent9,As Roy Andrew Miller ( 1991:319 -- 320 ) describes the situation :,"['As', 'Roy', 'Andrew', 'Miller', '(', '1991:319', '--', '320', ')', 'describes', 'the', 'situation', ':']","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",as roy andrew miller 1991 319 320 describes the situation,as roy andrew miller 1991 319 320 describe the situation,"[{'start': 3, 'end': 20, 'text': 'Roy Andrew Miller', 'label': 'person', 'score': 0.9435117244720459}]","[{'text': 'roy andrew miller', 'start': 3, 'end': 20, 'label': 'PER'}]"
en-doc5962-sent2,"There Columbanus embraced the monastic state , and for many years led a life conspicuous for fervour , regularity and learning .","['There', 'Columbanus', 'embraced', 'the', 'monastic', 'state', ',', 'and', 'for', 'many', 'years', 'led', 'a', 'life', 'conspicuous', 'for', 'fervour', ',', 'regularity', 'and', 'learning', '.']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",there columbanus embraced the monastic state and for many years led a life conspicuous for fervour regularity and learning,there columbanu embrace the monastic state and for many year lead a life conspicuous for fervour regularity and learn,"[{'start': 0, 'end': 5, 'text': 'There', 'label': 'location', 'score': 0.5683531761169434}, {'start': 6, 'end': 16, 'text': 'Columbanus', 'label': 'person', 'score': 0.9838698506355286}, {'start': 30, 'end': 44, 'text': 'monastic state', 'label': 'organization', 'score': 0.8637682199478149}, {'start': 118, 'end': 126, 'text': 'learning', 'label': 'miscellaneous', 'score': 0.3021063208580017}]",[]
en-doc6425-sent22,These were removed as a consequence of the 1992-1995 war in Bosnia and the perception of Princip as having been a Serb nationalist .,"['These', 'were', 'removed', 'as', 'a', 'consequence', 'of', 'the', '1992-1995', 'war', 'in', 'Bosnia', 'and', 'the', 'perception', 'of', 'Princip', 'as', 'having', 'been', 'a', 'Serb', 'nationalist', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",these were removed as a consequence of the 1992 1995 war in bosnia and the perception of princip as having been a serb nationalist,these be remove as a consequence of the 1992 1995 war in bosnia and the perception of princip as having be a serb nationalist,"[{'start': 60, 'end': 66, 'text': 'Bosnia', 'label': 'location', 'score': 0.9627965092658997}, {'start': 89, 'end': 96, 'text': 'Princip', 'label': 'person', 'score': 0.9722618460655212}, {'start': 114, 'end': 130, 'text': 'Serb nationalist', 'label': 'organization', 'score': 0.5763918161392212}]","[{'text': 'bosnia', 'start': 60, 'end': 66, 'label': 'LOC'}]"
en-doc6091-sent1,"In an alternative version , she spent a night at Apollo 's temple , at which time the temple snakes licked her ears clean so that she was able to hear the future .","['In', 'an', 'alternative', 'version', ',', 'she', 'spent', 'a', 'night', 'at', 'Apollo', ""'s"", 'temple', ',', 'at', 'which', 'time', 'the', 'temple', 'snakes', 'licked', 'her', 'ears', 'clean', 'so', 'that', 'she', 'was', 'able', 'to', 'hear', 'the', 'future', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",in an alternative version she spent a night at apollo s temple at which time the temple snakes licked her ears clean so that she was able to hear the future,in an alternative version she spend a night at apollo s temple at which time the temple snake lick her ear clean so that she be able to hear the future,"[{'start': 28, 'end': 31, 'text': 'she', 'label': 'person', 'score': 0.4687516987323761}, {'start': 49, 'end': 55, 'text': 'Apollo', 'label': 'person', 'score': 0.960608184337616}, {'start': 59, 'end': 65, 'text': 'temple', 'label': 'location', 'score': 0.8035180568695068}, {'start': 86, 'end': 92, 'text': 'temple', 'label': 'location', 'score': 0.5585411787033081}, {'start': 107, 'end': 110, 'text': 'her', 'label': 'person', 'score': 0.4986220598220825}, {'start': 130, 'end': 133, 'text': 'she', 'label': 'person', 'score': 0.6110338568687439}]","[{'text': 'apollo s temple', 'start': 47, 'end': 62, 'label': 'ORG'}]"
en-doc6091-sent4,"From Aeschylus ' Agamemnon , it appears that she has made a promise to Apollo to become his consort , but broke it , thus incurring his wrath : though she has retained the power of foresight , no one will believe her predictions .","['From', 'Aeschylus', ""'"", 'Agamemnon', ',', 'it', 'appears', 'that', 'she', 'has', 'made', 'a', 'promise', 'to', 'Apollo', 'to', 'become', 'his', 'consort', ',', 'but', 'broke', 'it', ',', 'thus', 'incurring', 'his', 'wrath', ':', 'though', 'she', 'has', 'retained', 'the', 'power', 'of', 'foresight', ',', 'no', 'one', 'will', 'believe', 'her', 'predictions', '.']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",from aeschylus agamemnon it appears that she has made a promise to apollo to become his consort but broke it thus incurring his wrath though she has retained the power of foresight no one will believe her predictions,from aeschylus agamemnon it appear that she have make a promise to apollo to become his consort but break it thus incur his wrath though she have retain the power of foresight no one will believe her prediction,"[{'start': 5, 'end': 14, 'text': 'Aeschylus', 'label': 'person', 'score': 0.7275426983833313}, {'start': 17, 'end': 26, 'text': 'Agamemnon', 'label': 'person', 'score': 0.8868700861930847}, {'start': 45, 'end': 48, 'text': 'she', 'label': 'person', 'score': 0.31186988949775696}, {'start': 71, 'end': 77, 'text': 'Apollo', 'label': 'person', 'score': 0.9144234657287598}, {'start': 151, 'end': 154, 'text': 'she', 'label': 'person', 'score': 0.5168905258178711}]",[]
en-doc6168-sent28,"In order to achieve backwards compatibility , DirectX in Windows Vista contains several versions of Direct3D :","['In', 'order', 'to', 'achieve', 'backwards', 'compatibility', ',', 'DirectX', 'in', 'Windows', 'Vista', 'contains', 'several', 'versions', 'of', 'Direct3D', ':']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",in order to achieve backwards compatibility directx in windows vista contains several versions of direct3d,in order to achieve backwards compatibility directx in windows vista contain several version of direct3d,"[{'start': 46, 'end': 53, 'text': 'DirectX', 'label': 'organization', 'score': 0.6810595989227295}, {'start': 57, 'end': 70, 'text': 'Windows Vista', 'label': 'location', 'score': 0.7635611891746521}, {'start': 100, 'end': 108, 'text': 'Direct3D', 'label': 'organization', 'score': 0.4329686462879181}]","[{'text': 'vista', 'start': 63, 'end': 68, 'label': 'ORG'}]"
en-doc6411-sent3,Marx and his brothers respected his opinions and asked him on several occasions to write some material for them .,"['Marx', 'and', 'his', 'brothers', 'respected', 'his', 'opinions', 'and', 'asked', 'him', 'on', 'several', 'occasions', 'to', 'write', 'some', 'material', 'for', 'them', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",marx and his brothers respected his opinions and asked him on several occasions to write some material for them,marx and his brother respect his opinion and ask he on several occasion to write some material for they,"[{'start': 0, 'end': 4, 'text': 'Marx', 'label': 'person', 'score': 0.9614360332489014}]","[{'text': 'marx', 'start': 0, 'end': 4, 'label': 'PER'}]"
en-doc6048-sent107,"In 1936 , Hoover entertained hopes of receiving the Republican presidential nomination again , and thus facing Roosevelt in a rematch .","['In', '1936', ',', 'Hoover', 'entertained', 'hopes', 'of', 'receiving', 'the', 'Republican', 'presidential', 'nomination', 'again', ',', 'and', 'thus', 'facing', 'Roosevelt', 'in', 'a', 'rematch', '.']","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",in 1936 hoover entertained hopes of receiving the republican presidential nomination again and thus facing roosevelt in a rematch,in 1936 hoover entertain hope of receive the republican presidential nomination again and thus face roosevelt in a rematch,"[{'start': 10, 'end': 16, 'text': 'Hoover', 'label': 'person', 'score': 0.9865998029708862}, {'start': 52, 'end': 62, 'text': 'Republican', 'label': 'organization', 'score': 0.6018973588943481}, {'start': 111, 'end': 120, 'text': 'Roosevelt', 'label': 'person', 'score': 0.9303131103515625}]","[{'text': 'republican', 'start': 50, 'end': 60, 'label': 'MISC'}]"
en-doc5918-sent20,"Petroleum is most notably present in Romania , although scarce reserves exist in Greece , Serbia , Albania and Croatia .","['Petroleum', 'is', 'most', 'notably', 'present', 'in', 'Romania', ',', 'although', 'scarce', 'reserves', 'exist', 'in', 'Greece', ',', 'Serbia', ',', 'Albania', 'and', 'Croatia', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",petroleum is most notably present in romania although scarce reserves exist in greece serbia albania and croatia,petroleum be most notably present in romania although scarce reserve exist in greece serbia albania and croatia,"[{'start': 0, 'end': 9, 'text': 'Petroleum', 'label': 'organization', 'score': 0.6264310479164124}, {'start': 37, 'end': 44, 'text': 'Romania', 'label': 'location', 'score': 0.9762322902679443}, {'start': 81, 'end': 87, 'text': 'Greece', 'label': 'location', 'score': 0.9752682447433472}, {'start': 90, 'end': 96, 'text': 'Serbia', 'label': 'location', 'score': 0.9730629324913025}, {'start': 99, 'end': 106, 'text': 'Albania', 'label': 'location', 'score': 0.9499846696853638}, {'start': 111, 'end': 118, 'text': 'Croatia', 'label': 'location', 'score': 0.9700171947479248}]","[{'text': 'romania', 'start': 37, 'end': 44, 'label': 'LOC'}, {'text': 'greece serbia', 'start': 79, 'end': 92, 'label': 'LOC'}, {'text': 'albania', 'start': 93, 'end': 100, 'label': 'LOC'}]"
en-doc5979-sent206,The rookie gave up a run in the first inning but then held the Astros at bay until the sixth inning .,"['The', 'rookie', 'gave', 'up', 'a', 'run', 'in', 'the', 'first', 'inning', 'but', 'then', 'held', 'the', 'Astros', 'at', 'bay', 'until', 'the', 'sixth', 'inning', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",the rookie gave up a run in the first inning but then held the astros at bay until the sixth inning,the rookie give up a run in the first inning but then hold the astro at bay until the sixth inning,"[{'start': 0, 'end': 10, 'text': 'The rookie', 'label': 'person', 'score': 0.9298032522201538}, {'start': 63, 'end': 69, 'text': 'Astros', 'label': 'organization', 'score': 0.925039529800415}]",[]
en-doc6088-sent5,The first modern version of such theories comes from William James in the 1880s .,"['The', 'first', 'modern', 'version', 'of', 'such', 'theories', 'comes', 'from', 'William', 'James', 'in', 'the', '1880s', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0]",the first modern version of such theories comes from william james in the 1880s,the first modern version of such theory come from william james in the 1880s,"[{'start': 53, 'end': 66, 'text': 'William James', 'label': 'person', 'score': 0.984847366809845}]","[{'text': 'william james', 'start': 53, 'end': 66, 'label': 'PER'}]"
en-doc6317-sent2,"She conceptualized the idea of machine-independent programming languages , which led to the development of COBOL , one of the first modern programming languages .","['She', 'conceptualized', 'the', 'idea', 'of', 'machine-independent', 'programming', 'languages', ',', 'which', 'led', 'to', 'the', 'development', 'of', 'COBOL', ',', 'one', 'of', 'the', 'first', 'modern', 'programming', 'languages', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",she conceptualized the idea of machine independent programming languages which led to the development of cobol one of the first modern programming languages,she conceptualize the idea of machine independent programming language which lead to the development of cobol one of the first modern programming language,"[{'start': 0, 'end': 3, 'text': 'She', 'label': 'person', 'score': 0.8865492343902588}]",[]
en-doc5949-sent46,Berry has been married twice .,"['Berry', 'has', 'been', 'married', 'twice', '.']","[2, 0, 0, 0, 0, 0]",berry has been married twice,berry have be marry twice,"[{'start': 0, 'end': 5, 'text': 'Berry', 'label': 'person', 'score': 0.9694772958755493}]",[]
en-doc5894-sent45,"The initial result of this session was the single "" Personal Jesus "" .","['The', 'initial', 'result', 'of', 'this', 'session', 'was', 'the', 'single', '""', 'Personal', 'Jesus', '""', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",the initial result of this session was the single personal jesus,the initial result of this session be the single personal jesus,"[{'start': 52, 'end': 66, 'text': 'Personal Jesus', 'label': 'person', 'score': 0.6956691741943359}]",[]
en-doc6305-sent36,They generally depart from the capital Bridgetown or from Speightstown in the northern part of the island .,"['They', 'generally', 'depart', 'from', 'the', 'capital', 'Bridgetown', 'or', 'from', 'Speightstown', 'in', 'the', 'northern', 'part', 'of', 'the', 'island', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",they generally depart from the capital bridgetown or from speightstown in the northern part of the island,they generally depart from the capital bridgetown or from speightstown in the northern part of the island,"[{'start': 0, 'end': 4, 'text': 'They', 'label': 'person', 'score': 0.6094769835472107}, {'start': 39, 'end': 49, 'text': 'Bridgetown', 'label': 'location', 'score': 0.963355541229248}, {'start': 58, 'end': 70, 'text': 'Speightstown', 'label': 'location', 'score': 0.9542937874794006}, {'start': 78, 'end': 105, 'text': 'northern part of the island', 'label': 'location', 'score': 0.43098360300064087}]",[]
en-doc6435-sent62,Eugene spent much of his spare time there in his last years accommodating large hunting parties .,"['Eugene', 'spent', 'much', 'of', 'his', 'spare', 'time', 'there', 'in', 'his', 'last', 'years', 'accommodating', 'large', 'hunting', 'parties', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",eugene spent much of his spare time there in his last years accommodating large hunting parties,eugene spend much of his spare time there in his last year accommodate large hunt party,"[{'start': 0, 'end': 6, 'text': 'Eugene', 'label': 'person', 'score': 0.986093282699585}]","[{'text': 'eugene', 'start': 0, 'end': 6, 'label': 'PER'}]"
en-doc6331-sent30,Carmack had to make use of several tricks for these features to run smoothly on home computers of 1993 .,"['Carmack', 'had', 'to', 'make', 'use', 'of', 'several', 'tricks', 'for', 'these', 'features', 'to', 'run', 'smoothly', 'on', 'home', 'computers', 'of', '1993', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",carmack had to make use of several tricks for these features to run smoothly on home computers of 1993,carmack have to make use of several trick for these feature to run smoothly on home computer of 1993,"[{'start': 0, 'end': 7, 'text': 'Carmack', 'label': 'person', 'score': 0.9876173138618469}, {'start': 52, 'end': 60, 'text': 'features', 'label': 'miscellaneous', 'score': 0.36666932702064514}, {'start': 80, 'end': 94, 'text': 'home computers', 'label': 'location', 'score': 0.5673940777778625}, {'start': 98, 'end': 102, 'text': '1993', 'label': 'location', 'score': 0.32915163040161133}]",[]
en-doc6047-sent64,"Dürer based these constructions on both Vitruvius and empirical observations of , "" two to three hundred living persons, "" in his own words .","['Dürer', 'based', 'these', 'constructions', 'on', 'both', 'Vitruvius', 'and', 'empirical', 'observations', 'of', ',', '""', 'two', 'to', 'three', 'hundred', 'living', 'persons,', '""', 'in', 'his', 'own', 'words', '.']","[2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",d rer based these constructions on both vitruvius and empirical observations of two to three hundred living persons in his own words,d rer base these construction on both vitruvius and empirical observation of two to three hundred living person in his own word,"[{'start': 0, 'end': 5, 'text': 'Dürer', 'label': 'person', 'score': 0.9540295004844666}, {'start': 40, 'end': 49, 'text': 'Vitruvius', 'label': 'person', 'score': 0.9317460060119629}]",[]
