id,words,ner_tags,text
en-doc6380-sent24,"['For' 'those' 'who' 'had' 'a' 'job' ',' 'the' 'February' 'revolution'
 'gave' 'freedom' 'to' 'reach' 'for' 'resolving' 'long-term' 'problems'
 'of' 'their' 'laborious' 'working' 'life' ';' 'the' 'workers' 'called'
 'for' 'eight-hour-per-day' 'working' 'limits' ',' 'better' 'working'
 'conditions' ',' 'and' 'higher' 'wages' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","For those who had a job , the February revolution gave freedom to reach for resolving long-term problems of their laborious working life ; the workers called for eight-hour-per-day working limits , better working conditions , and higher wages ."
en-doc6208-sent92,"['However' ',' 'Khatami' 'is' 'widely' 'regarded' 'as' 'having' 'been'
 'unsuccessful' 'in' 'achieving' 'his' 'goal' 'of' 'making' 'Iran' 'more'
 'free' 'and' 'democratic' '.']",[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],"However , Khatami is widely regarded as having been unsuccessful in achieving his goal of making Iran more free and democratic ."
en-doc6401-sent9,"['As' 'Roy' 'Andrew' 'Miller' '(' '1991:319' '--' '320' ')' 'describes'
 'the' 'situation' ':']",[0 2 2 2 0 0 0 0 0 0 0 0 0],As Roy Andrew Miller ( 1991:319 -- 320 ) describes the situation :
en-doc5962-sent2,"['There' 'Columbanus' 'embraced' 'the' 'monastic' 'state' ',' 'and' 'for'
 'many' 'years' 'led' 'a' 'life' 'conspicuous' 'for' 'fervour' ','
 'regularity' 'and' 'learning' '.']",[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"There Columbanus embraced the monastic state , and for many years led a life conspicuous for fervour , regularity and learning ."
en-doc6425-sent22,"['These' 'were' 'removed' 'as' 'a' 'consequence' 'of' 'the' '1992-1995'
 'war' 'in' 'Bosnia' 'and' 'the' 'perception' 'of' 'Princip' 'as' 'having'
 'been' 'a' 'Serb' 'nationalist' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0],These were removed as a consequence of the 1992-1995 war in Bosnia and the perception of Princip as having been a Serb nationalist .
en-doc6091-sent1,"['In' 'an' 'alternative' 'version' ',' 'she' 'spent' 'a' 'night' 'at'
 'Apollo' ""'s"" 'temple' ',' 'at' 'which' 'time' 'the' 'temple' 'snakes'
 'licked' 'her' 'ears' 'clean' 'so' 'that' 'she' 'was' 'able' 'to' 'hear'
 'the' 'future' '.']",[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In an alternative version , she spent a night at Apollo 's temple , at which time the temple snakes licked her ears clean so that she was able to hear the future ."
en-doc6091-sent4,"['From' 'Aeschylus' ""'"" 'Agamemnon' ',' 'it' 'appears' 'that' 'she' 'has'
 'made' 'a' 'promise' 'to' 'Apollo' 'to' 'become' 'his' 'consort' ','
 'but' 'broke' 'it' ',' 'thus' 'incurring' 'his' 'wrath' ':' 'though'
 'she' 'has' 'retained' 'the' 'power' 'of' 'foresight' ',' 'no' 'one'
 'will' 'believe' 'her' 'predictions' '.']","[0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","From Aeschylus ' Agamemnon , it appears that she has made a promise to Apollo to become his consort , but broke it , thus incurring his wrath : though she has retained the power of foresight , no one will believe her predictions ."
en-doc6168-sent28,"['In' 'order' 'to' 'achieve' 'backwards' 'compatibility' ',' 'DirectX'
 'in' 'Windows' 'Vista' 'contains' 'several' 'versions' 'of' 'Direct3D'
 ':']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In order to achieve backwards compatibility , DirectX in Windows Vista contains several versions of Direct3D :"
en-doc6411-sent3,"['Marx' 'and' 'his' 'brothers' 'respected' 'his' 'opinions' 'and' 'asked'
 'him' 'on' 'several' 'occasions' 'to' 'write' 'some' 'material' 'for'
 'them' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Marx and his brothers respected his opinions and asked him on several occasions to write some material for them .
en-doc6048-sent107,"['In' '1936' ',' 'Hoover' 'entertained' 'hopes' 'of' 'receiving' 'the'
 'Republican' 'presidential' 'nomination' 'again' ',' 'and' 'thus'
 'facing' 'Roosevelt' 'in' 'a' 'rematch' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],"In 1936 , Hoover entertained hopes of receiving the Republican presidential nomination again , and thus facing Roosevelt in a rematch ."
en-doc5918-sent20,"['Petroleum' 'is' 'most' 'notably' 'present' 'in' 'Romania' ',' 'although'
 'scarce' 'reserves' 'exist' 'in' 'Greece' ',' 'Serbia' ',' 'Albania'
 'and' 'Croatia' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0],"Petroleum is most notably present in Romania , although scarce reserves exist in Greece , Serbia , Albania and Croatia ."
en-doc5979-sent206,"['The' 'rookie' 'gave' 'up' 'a' 'run' 'in' 'the' 'first' 'inning' 'but'
 'then' 'held' 'the' 'Astros' 'at' 'bay' 'until' 'the' 'sixth' 'inning'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],The rookie gave up a run in the first inning but then held the Astros at bay until the sixth inning .
en-doc6088-sent5,"['The' 'first' 'modern' 'version' 'of' 'such' 'theories' 'comes' 'from'
 'William' 'James' 'in' 'the' '1880s' '.']",[0 0 0 0 0 0 0 0 0 2 2 0 0 0 0],The first modern version of such theories comes from William James in the 1880s .
en-doc6317-sent2,"['She' 'conceptualized' 'the' 'idea' 'of' 'machine-independent'
 'programming' 'languages' ',' 'which' 'led' 'to' 'the' 'development' 'of'
 'COBOL' ',' 'one' 'of' 'the' 'first' 'modern' 'programming' 'languages'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"She conceptualized the idea of machine-independent programming languages , which led to the development of COBOL , one of the first modern programming languages ."
en-doc5949-sent46,['Berry' 'has' 'been' 'married' 'twice' '.'],[2 0 0 0 0 0],Berry has been married twice .
en-doc5894-sent45,"['The' 'initial' 'result' 'of' 'this' 'session' 'was' 'the' 'single' '""'
 'Personal' 'Jesus' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The initial result of this session was the single "" Personal Jesus "" ."
en-doc6305-sent36,"['They' 'generally' 'depart' 'from' 'the' 'capital' 'Bridgetown' 'or'
 'from' 'Speightstown' 'in' 'the' 'northern' 'part' 'of' 'the' 'island'
 '.']",[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],They generally depart from the capital Bridgetown or from Speightstown in the northern part of the island .
en-doc6435-sent62,"['Eugene' 'spent' 'much' 'of' 'his' 'spare' 'time' 'there' 'in' 'his'
 'last' 'years' 'accommodating' 'large' 'hunting' 'parties' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Eugene spent much of his spare time there in his last years accommodating large hunting parties .
en-doc6331-sent30,"['Carmack' 'had' 'to' 'make' 'use' 'of' 'several' 'tricks' 'for' 'these'
 'features' 'to' 'run' 'smoothly' 'on' 'home' 'computers' 'of' '1993' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Carmack had to make use of several tricks for these features to run smoothly on home computers of 1993 .
en-doc6047-sent64,"['Dürer' 'based' 'these' 'constructions' 'on' 'both' 'Vitruvius' 'and'
 'empirical' 'observations' 'of' ',' '""' 'two' 'to' 'three' 'hundred'
 'living' 'persons,' '""' 'in' 'his' 'own' 'words' '.']",[2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Dürer based these constructions on both Vitruvius and empirical observations of , "" two to three hundred living persons, "" in his own words ."
en-doc6264-sent51,"['A' 'series' 'of' 'incidents' 'in' 'the' '1960s' 'marked' 'the'
 'intensification' 'of' 'Argentine' 'sovereignty' 'claims' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],A series of incidents in the 1960s marked the intensification of Argentine sovereignty claims .
en-doc6298-sent9,"['He' 'played' '""' 'Faceman' '""' 'from' '1982' 'to' '1986' '(' 'although'
 'the' 'series' 'did' ""n't"" 'air' 'until' 'January' '1983' ',' 'and' 'the'
 'final' 'episode' 'was' ""n't"" 'shown' 'until' '1987' 're-runs' ')' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"He played "" Faceman "" from 1982 to 1986 ( although the series did n't air until January 1983 , and the final episode was n't shown until 1987 re-runs ) ."
en-doc6430-sent120,['Further' 'AVE' 'routes' 'are' 'under' 'construction' '.'],[0 1 0 0 0 0 0],Further AVE routes are under construction .
en-doc6405-sent28,"['Work' 'continued' 'on' 'the' 'downhill' 'side' 'towards' 'the' 'Hudson'
 ',' 'and' 'when' 'the' 'marsh' 'froze' 'in' 'winter' ',' 'the' 'crews'
 'worked' 'to' 'complete' 'the' 'section' 'across' 'the' 'swamps' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Work continued on the downhill side towards the Hudson , and when the marsh froze in winter , the crews worked to complete the section across the swamps ."
en-doc6128-sent27,"['The' 'elders' 'suggest' 'agreeing' 'with' 'the' 'people' ""'s"" 'wishes'
 ',' 'but' 'Rehoboam' 'decides' 'to' 'go' 'with' 'the' 'advice' 'of' 'the'
 'youths' ',' 'namely' 'to' 'enforce' 'even' 'heavier' 'servitude' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The elders suggest agreeing with the people 's wishes , but Rehoboam decides to go with the advice of the youths , namely to enforce even heavier servitude ."
en-doc6123-sent41,"['Russell' ""'s"" 'eldest' 'son' ',' 'John' ',' 'suffered' 'from' 'serious'
 'mental' 'illness' ',' 'which' 'was' 'the' 'source' 'of' 'ongoing'
 'disputes' 'between' 'Russell' 'and' 'John' ""'s"" 'mother' ',' 'Russell'
 ""'s"" 'former' 'wife' ',' 'Dora' '.']",[2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0],"Russell 's eldest son , John , suffered from serious mental illness , which was the source of ongoing disputes between Russell and John 's mother , Russell 's former wife , Dora ."
en-doc6376-sent25,"['The' 'musical' 'debuted' 'at' 'Tokyo' 'Metropolitan' 'Art' 'Space' 'on'
 'September' '4' ',' '2008' 'running' 'through' 'September' '14' '.']",[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],"The musical debuted at Tokyo Metropolitan Art Space on September 4 , 2008 running through September 14 ."
en-doc5949-sent30,"['Downey' 'was' 'supposed' 'to' 'grab' 'her' 'arm' 'and' 'twist' 'but'
 'twisted' 'too' 'hard' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0],Downey was supposed to grab her arm and twist but twisted too hard .
en-doc5979-sent368,"['As' 'well' ',' 'utility' 'player' 'Mark' 'Loretta' 'accepted' 'Houston'
 ""'s"" 'salary' 'arbitration' '.']",[0 0 0 0 0 2 2 0 4 0 0 0 0],"As well , utility player Mark Loretta accepted Houston 's salary arbitration ."
en-doc6353-sent13,"['The' 'counting' 'of' 'possible' 'isomers' 'for' 'diderivatives' 'was'
 'however' 'criticized' 'by' 'Albert' 'Ladenburg' ',' 'a' 'former'
 'student' 'of' 'Kekulé' ',' 'who' 'argued' 'that' 'Kekulé' ""'s"" '1865'
 'structure' 'implied' 'two' 'distinct' '""' 'ortho' '""' 'structures' ','
 'depending' 'on' 'whether' 'the' 'substituted' 'carbons' 'are'
 'separated' 'by' 'a' 'single' 'or' 'a' 'double' 'bond' '.']","[0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","The counting of possible isomers for diderivatives was however criticized by Albert Ladenburg , a former student of Kekulé , who argued that Kekulé 's 1865 structure implied two distinct "" ortho "" structures , depending on whether the substituted carbons are separated by a single or a double bond ."
en-doc6060-sent1,"['The' 'Ethnologue' 'lists' 'a' 'total' 'of' '14' ',' 'but' 'the' 'number'
 'varies' 'between' 'seven' 'and' 'seventeen' 'depending' 'on' 'the'
 'classification' 'scheme' 'followed' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The Ethnologue lists a total of 14 , but the number varies between seven and seventeen depending on the classification scheme followed ."
en-doc5894-sent5,"['Depeche' 'Mode' ""'s"" 'origins' 'date' 'back' 'to' '1977' ',' 'when'
 'Vince' 'Clarke' 'and' 'Andrew' 'Fletcher' 'formed' 'a' 'band' 'called'
 'No' 'Romance' 'in' 'China' ',' 'with' 'Clarke' 'on' 'vocals' 'and'
 'guitar' 'and' 'Fletcher' 'on' 'bass' '.']",[4 4 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 0 0 4 4 4 4 0 0 2 0 0 0 0 0 2 0 0 0],"Depeche Mode 's origins date back to 1977 , when Vince Clarke and Andrew Fletcher formed a band called No Romance in China , with Clarke on vocals and guitar and Fletcher on bass ."
en-doc6115-sent19,"['Sadly' 'Masaccio' 'died' 'at' '27' ',' 'leaving' 'the' 'work'
 'unfinished' '.']",[0 2 0 0 0 0 0 0 0 0 0],"Sadly Masaccio died at 27 , leaving the work unfinished ."
en-doc6170-sent80,"['This' 'table' 'displays' 'the' 'Oscar' 'nominations' 'for' 'Mr.'
 'Coppola' '.']",[0 0 0 0 0 0 0 0 2 0],This table displays the Oscar nominations for Mr. Coppola .
en-doc6089-sent0,"['He' 'was' 'the' 'Republican' 'candidate' 'in' 'the' '1916' 'U.S.'
 'Presidential' 'election' ',' 'losing' 'to' 'Woodrow' 'Wilson' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0],"He was the Republican candidate in the 1916 U.S. Presidential election , losing to Woodrow Wilson ."
en-doc6281-sent6,"['This' 'system' 'began' 'in' '841' 'BCE' 'during' 'the' 'Zhou' 'dynasty'
 '.']",[0 0 0 0 0 0 0 0 0 0 0],This system began in 841 BCE during the Zhou dynasty .
en-doc5868-sent14,"['The' 'modern-day' 'Xfce' 'used' 'to' 'take' 'part' 'of' 'its'
 'look-and-feel' 'from' 'the' 'CDE' 'environment' ',' 'but' 'no' 'longer'
 'does' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The modern-day Xfce used to take part of its look-and-feel from the CDE environment , but no longer does ."
en-doc6250-sent22,['Solinus' 'embraces' 'the' 'account' 'of' 'Plinius' '.'],[2 0 0 0 0 2 0],Solinus embraces the account of Plinius .
en-doc5831-sent32,"['The' 'day' 'started' 'with' 'a' 'procession' 'of' 'eight' 'trains'
 'setting' 'out' 'from' 'Liverpool' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0],The day started with a procession of eight trains setting out from Liverpool .
en-doc5979-sent11,"['Colt' 'Stadium' 'was' 'built' 'on' 'the' 'same' 'land' 'that' 'would'
 'eventually' 'hold' 'its' 'famous' 'successor' '.']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Colt Stadium was built on the same land that would eventually hold its famous successor .
en-doc5856-sent28,"['In' 'the' '1970s' ',' 'one' 'suggestion' 'was' 'that' 'the' 'lenses'
 'of' 'Clark' 'Kent' ""'s"" 'glasses' '(' 'made' 'of' 'Kryptonian'
 'materials' ')' 'constantly' 'amplified' 'a' 'low-level' 'super-hypnosis'
 'power' ',' 'thereby' 'creating' 'the' 'illusion' 'of' 'others' 'viewing'
 'Clark' 'Kent' 'as' 'a' 'weak' 'and' 'frailer' 'being' '.']","[0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2
 0 0 0 0 0 0 0]","In the 1970s , one suggestion was that the lenses of Clark Kent 's glasses ( made of Kryptonian materials ) constantly amplified a low-level super-hypnosis power , thereby creating the illusion of others viewing Clark Kent as a weak and frailer being ."
en-doc6218-sent13,"['Another' 'early' 'example' 'of' 'a' 'whodunit' 'is' 'a' 'sub-plot' 'in'
 'the' 'novel' 'Bleak' 'House' '(' '1853' ')' 'by' 'Charles' 'Dickens' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0],Another early example of a whodunit is a sub-plot in the novel Bleak House ( 1853 ) by Charles Dickens .
en-doc5979-sent82,"['And' 'although' 'had' 'previously' 'been' 'a' 'National' 'League'
 'All-Star' 'his' 'career' 'descended' 'in' 'Houston' 'while' 'Morgan'
 ""'s"" 'skyrocketed' 'in' 'Cincinnati' '.']",[0 0 0 0 0 0 4 4 0 0 0 0 0 4 0 2 0 0 0 1 0],And although had previously been a National League All-Star his career descended in Houston while Morgan 's skyrocketed in Cincinnati .
en-doc6308-sent32,"['In' '1971' ',' 'an' 'improved' 'task' 'priority' 'system' 'for'
 'computerized' 'switching' 'systems' 'for' 'telephone' 'traffic' 'was'
 'invented' 'by' 'Erna' 'Schneider' 'Hoover' ',' 'who' 'received' 'one'
 'of' 'the' 'first' 'software' 'patents' 'for' 'it' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0],"In 1971 , an improved task priority system for computerized switching systems for telephone traffic was invented by Erna Schneider Hoover , who received one of the first software patents for it ."
en-doc6260-sent6,"['It' 'is' '1794' 'kilometres' '(' '1115' 'mi' ')' 'long' 'and' 'was'
 'built' 'to' 'carry' 'the' 'Emperor' 'Yang' 'Guang' 'between' 'Beijing'
 'and' 'Hangzhou' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 1 0 1 0],It is 1794 kilometres ( 1115 mi ) long and was built to carry the Emperor Yang Guang between Beijing and Hangzhou .
en-doc5942-sent6,"['It' 'became' 'famous' 'in' 'popular' 'media' 'as' 'the' 'vehicle' 'of'
 'James' 'Bond' 'in' 'the' 'original' 'novels' ',' 'but' 'not' 'in' 'film'
 ';' 'John' 'Steed' ',' 'in' 'the' 'television' 'series' 'The' 'Avengers'
 ',' 'drove' 'a' 'Bentley' '.']",[0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 4 0],"It became famous in popular media as the vehicle of James Bond in the original novels , but not in film ; John Steed , in the television series The Avengers , drove a Bentley ."
en-doc5860-sent90,"['She' 'also' 'did' 'voice' 'work' 'for' 'All' 'Dogs' 'Go' 'to' 'Heaven'
 '2' 'and' 'All' 'Dogs' 'Go' 'to' 'Heaven' ':' 'The' 'Series' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],She also did voice work for All Dogs Go to Heaven 2 and All Dogs Go to Heaven : The Series .
en-doc6138-sent62,"['She' 'bows' 'low' 'to' 'Henry' ',' 'put' 'herself' 'at' 'his' 'mercy'
 ',' 'states' 'her' 'case' 'with' 'irrefutable' 'eloquence' 'and' 'then'
 'sweeps' 'out' 'of' 'the' 'courtroom' ',' 'a' 'woman' 'both' 'formidable'
 'and' 'clearly' 'wronged' '.']",[0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"She bows low to Henry , put herself at his mercy , states her case with irrefutable eloquence and then sweeps out of the courtroom , a woman both formidable and clearly wronged ."
en-doc6440-sent6,"['In' 'March' '2009' 'AMC' 'Theatres' 'announced' 'that' 'it' 'closed'
 'on' 'a' '$' '315' 'million' 'deal' 'with' 'Sony' 'to' 'replace' 'all'
 'of' 'its' 'movie' 'projectors' 'with' '4k' 'digital' 'projectors'
 'starting' 'in' 'the' 'second' 'quarter' 'of' '2009' 'and' 'completing'
 'in' '2012' '.']","[0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",In March 2009 AMC Theatres announced that it closed on a $ 315 million deal with Sony to replace all of its movie projectors with 4k digital projectors starting in the second quarter of 2009 and completing in 2012 .
en-doc5949-sent31,"['Berry' 'appeared' 'in' 'the' 'Limp' 'Bizkit' 'music' 'video' 'for' '""'
 'Behind' 'Blue' 'Eyes' '""' 'for' 'the' 'motion' 'picture' 'soundtrack'
 'for' 'the' 'film' '.']",[2 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Berry appeared in the Limp Bizkit music video for "" Behind Blue Eyes "" for the motion picture soundtrack for the film ."
en-doc6082-sent4,"['Numerous' 'modules' 'and' 'Perl' 'scripts' 'have' 'been' 'made'
 'available' 'for' 'Irssi' 'to' 'customise' 'how' 'it' 'looks' 'and'
 'operates' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Numerous modules and Perl scripts have been made available for Irssi to customise how it looks and operates .
en-doc5909-sent13,"['Conversely' ',' 'rifle' 'bullets' 'can' 'pierce' 'light' 'armor' 'and'
 'are' 'easier' 'to' 'shoot' 'accurately' ',' 'but' 'even' 'a' 'carbine'
 'such' 'as' 'the' 'Colt' 'M4' 'is' 'larger' 'and/or' 'longer' 'than' 'a'
 'submachine' 'gun' ',' 'making' 'it' 'harder' 'to' 'maneuver' 'in'
 'close' 'quarters' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","Conversely , rifle bullets can pierce light armor and are easier to shoot accurately , but even a carbine such as the Colt M4 is larger and/or longer than a submachine gun , making it harder to maneuver in close quarters ."
en-doc6053-sent10,"['Although' 'Clausewitz' 'participated' 'in' 'numerous' 'military'
 'campaigns' ',' 'he' 'was' 'primarily' 'a' 'military' 'theorist'
 'interested' 'in' 'the' 'examination' 'of' 'war' '.']",[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Although Clausewitz participated in numerous military campaigns , he was primarily a military theorist interested in the examination of war ."
en-doc6084-sent6,"['Pope' 'Julius' 'I' 'wrote' 'to' 'the' 'supporters' 'of' 'Arius'
 'strongly' 'urging' 'the' 'reinstatement' 'of' 'Athanasius' ',' 'but'
 'that' 'effort' 'proved' 'to' 'be' 'in' 'vain' '.']",[0 2 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],"Pope Julius I wrote to the supporters of Arius strongly urging the reinstatement of Athanasius , but that effort proved to be in vain ."
