id,words,ner_tags,text,cleaned_text,lemmatized_text
en-doc6380-sent24,"['For' 'those' 'who' 'had' 'a' 'job' ',' 'the' 'February' 'revolution'
 'gave' 'freedom' 'to' 'reach' 'for' 'resolving' 'long-term' 'problems'
 'of' 'their' 'laborious' 'working' 'life' ';' 'the' 'workers' 'called'
 'for' 'eight-hour-per-day' 'working' 'limits' ',' 'better' 'working'
 'conditions' ',' 'and' 'higher' 'wages' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","For those who had a job , the February revolution gave freedom to reach for resolving long-term problems of their laborious working life ; the workers called for eight-hour-per-day working limits , better working conditions , and higher wages .",for those who had a job the february revolution gave freedom to reach for resolving long term problems of their laborious working life the workers called for eight hour per day working limits better working conditions and higher wages,for those who have a job the february revolution give freedom to reach for resolve long term problem of their laborious working life the worker call for eight hour per day work limit well working condition and high wage
en-doc6208-sent92,"['However' ',' 'Khatami' 'is' 'widely' 'regarded' 'as' 'having' 'been'
 'unsuccessful' 'in' 'achieving' 'his' 'goal' 'of' 'making' 'Iran' 'more'
 'free' 'and' 'democratic' '.']",[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],"However , Khatami is widely regarded as having been unsuccessful in achieving his goal of making Iran more free and democratic .",however khatami is widely regarded as having been unsuccessful in achieving his goal of making iran more free and democratic,however khatami be widely regard as having be unsuccessful in achieve his goal of make iran more free and democratic
en-doc6401-sent9,"['As' 'Roy' 'Andrew' 'Miller' '(' '1991:319' '--' '320' ')' 'describes'
 'the' 'situation' ':']",[0 2 2 2 0 0 0 0 0 0 0 0 0],As Roy Andrew Miller ( 1991:319 -- 320 ) describes the situation :,as roy andrew miller 1991 319 320 describes the situation,as roy andrew miller 1991 319 320 describe the situation
en-doc5962-sent2,"['There' 'Columbanus' 'embraced' 'the' 'monastic' 'state' ',' 'and' 'for'
 'many' 'years' 'led' 'a' 'life' 'conspicuous' 'for' 'fervour' ','
 'regularity' 'and' 'learning' '.']",[0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"There Columbanus embraced the monastic state , and for many years led a life conspicuous for fervour , regularity and learning .",there columbanus embraced the monastic state and for many years led a life conspicuous for fervour regularity and learning,there columbanu embrace the monastic state and for many year lead a life conspicuous for fervour regularity and learn
en-doc6425-sent22,"['These' 'were' 'removed' 'as' 'a' 'consequence' 'of' 'the' '1992-1995'
 'war' 'in' 'Bosnia' 'and' 'the' 'perception' 'of' 'Princip' 'as' 'having'
 'been' 'a' 'Serb' 'nationalist' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0],These were removed as a consequence of the 1992-1995 war in Bosnia and the perception of Princip as having been a Serb nationalist .,these were removed as a consequence of the 1992 1995 war in bosnia and the perception of princip as having been a serb nationalist,these be remove as a consequence of the 1992 1995 war in bosnia and the perception of princip as having be a serb nationalist
en-doc6091-sent1,"['In' 'an' 'alternative' 'version' ',' 'she' 'spent' 'a' 'night' 'at'
 'Apollo' ""'s"" 'temple' ',' 'at' 'which' 'time' 'the' 'temple' 'snakes'
 'licked' 'her' 'ears' 'clean' 'so' 'that' 'she' 'was' 'able' 'to' 'hear'
 'the' 'future' '.']",[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In an alternative version , she spent a night at Apollo 's temple , at which time the temple snakes licked her ears clean so that she was able to hear the future .",in an alternative version she spent a night at apollo s temple at which time the temple snakes licked her ears clean so that she was able to hear the future,in an alternative version she spend a night at apollo s temple at which time the temple snake lick her ear clean so that she be able to hear the future
en-doc6091-sent4,"['From' 'Aeschylus' ""'"" 'Agamemnon' ',' 'it' 'appears' 'that' 'she' 'has'
 'made' 'a' 'promise' 'to' 'Apollo' 'to' 'become' 'his' 'consort' ','
 'but' 'broke' 'it' ',' 'thus' 'incurring' 'his' 'wrath' ':' 'though'
 'she' 'has' 'retained' 'the' 'power' 'of' 'foresight' ',' 'no' 'one'
 'will' 'believe' 'her' 'predictions' '.']","[0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]","From Aeschylus ' Agamemnon , it appears that she has made a promise to Apollo to become his consort , but broke it , thus incurring his wrath : though she has retained the power of foresight , no one will believe her predictions .",from aeschylus agamemnon it appears that she has made a promise to apollo to become his consort but broke it thus incurring his wrath though she has retained the power of foresight no one will believe her predictions,from aeschylus agamemnon it appear that she have make a promise to apollo to become his consort but break it thus incur his wrath though she have retain the power of foresight no one will believe her prediction
en-doc6168-sent28,"['In' 'order' 'to' 'achieve' 'backwards' 'compatibility' ',' 'DirectX'
 'in' 'Windows' 'Vista' 'contains' 'several' 'versions' 'of' 'Direct3D'
 ':']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"In order to achieve backwards compatibility , DirectX in Windows Vista contains several versions of Direct3D :",in order to achieve backwards compatibility directx in windows vista contains several versions of direct3d,in order to achieve backwards compatibility directx in windows vista contain several version of direct3d
en-doc6411-sent3,"['Marx' 'and' 'his' 'brothers' 'respected' 'his' 'opinions' 'and' 'asked'
 'him' 'on' 'several' 'occasions' 'to' 'write' 'some' 'material' 'for'
 'them' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Marx and his brothers respected his opinions and asked him on several occasions to write some material for them .,marx and his brothers respected his opinions and asked him on several occasions to write some material for them,marx and his brother respect his opinion and ask he on several occasion to write some material for they
en-doc6048-sent107,"['In' '1936' ',' 'Hoover' 'entertained' 'hopes' 'of' 'receiving' 'the'
 'Republican' 'presidential' 'nomination' 'again' ',' 'and' 'thus'
 'facing' 'Roosevelt' 'in' 'a' 'rematch' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],"In 1936 , Hoover entertained hopes of receiving the Republican presidential nomination again , and thus facing Roosevelt in a rematch .",in 1936 hoover entertained hopes of receiving the republican presidential nomination again and thus facing roosevelt in a rematch,in 1936 hoover entertain hope of receive the republican presidential nomination again and thus face roosevelt in a rematch
en-doc5918-sent20,"['Petroleum' 'is' 'most' 'notably' 'present' 'in' 'Romania' ',' 'although'
 'scarce' 'reserves' 'exist' 'in' 'Greece' ',' 'Serbia' ',' 'Albania'
 'and' 'Croatia' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0],"Petroleum is most notably present in Romania , although scarce reserves exist in Greece , Serbia , Albania and Croatia .",petroleum is most notably present in romania although scarce reserves exist in greece serbia albania and croatia,petroleum be most notably present in romania although scarce reserve exist in greece serbia albania and croatia
en-doc5979-sent206,"['The' 'rookie' 'gave' 'up' 'a' 'run' 'in' 'the' 'first' 'inning' 'but'
 'then' 'held' 'the' 'Astros' 'at' 'bay' 'until' 'the' 'sixth' 'inning'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],The rookie gave up a run in the first inning but then held the Astros at bay until the sixth inning .,the rookie gave up a run in the first inning but then held the astros at bay until the sixth inning,the rookie give up a run in the first inning but then hold the astro at bay until the sixth inning
en-doc6088-sent5,"['The' 'first' 'modern' 'version' 'of' 'such' 'theories' 'comes' 'from'
 'William' 'James' 'in' 'the' '1880s' '.']",[0 0 0 0 0 0 0 0 0 2 2 0 0 0 0],The first modern version of such theories comes from William James in the 1880s .,the first modern version of such theories comes from william james in the 1880s,the first modern version of such theory come from william james in the 1880s
en-doc6317-sent2,"['She' 'conceptualized' 'the' 'idea' 'of' 'machine-independent'
 'programming' 'languages' ',' 'which' 'led' 'to' 'the' 'development' 'of'
 'COBOL' ',' 'one' 'of' 'the' 'first' 'modern' 'programming' 'languages'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"She conceptualized the idea of machine-independent programming languages , which led to the development of COBOL , one of the first modern programming languages .",she conceptualized the idea of machine independent programming languages which led to the development of cobol one of the first modern programming languages,she conceptualize the idea of machine independent programming language which lead to the development of cobol one of the first modern programming language
en-doc5949-sent46,['Berry' 'has' 'been' 'married' 'twice' '.'],[2 0 0 0 0 0],Berry has been married twice .,berry has been married twice,berry have be marry twice
en-doc5894-sent45,"['The' 'initial' 'result' 'of' 'this' 'session' 'was' 'the' 'single' '""'
 'Personal' 'Jesus' '""' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The initial result of this session was the single "" Personal Jesus "" .",the initial result of this session was the single personal jesus,the initial result of this session be the single personal jesus
en-doc6305-sent36,"['They' 'generally' 'depart' 'from' 'the' 'capital' 'Bridgetown' 'or'
 'from' 'Speightstown' 'in' 'the' 'northern' 'part' 'of' 'the' 'island'
 '.']",[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0],They generally depart from the capital Bridgetown or from Speightstown in the northern part of the island .,they generally depart from the capital bridgetown or from speightstown in the northern part of the island,they generally depart from the capital bridgetown or from speightstown in the northern part of the island
en-doc6435-sent62,"['Eugene' 'spent' 'much' 'of' 'his' 'spare' 'time' 'there' 'in' 'his'
 'last' 'years' 'accommodating' 'large' 'hunting' 'parties' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Eugene spent much of his spare time there in his last years accommodating large hunting parties .,eugene spent much of his spare time there in his last years accommodating large hunting parties,eugene spend much of his spare time there in his last year accommodate large hunt party
en-doc6331-sent30,"['Carmack' 'had' 'to' 'make' 'use' 'of' 'several' 'tricks' 'for' 'these'
 'features' 'to' 'run' 'smoothly' 'on' 'home' 'computers' 'of' '1993' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Carmack had to make use of several tricks for these features to run smoothly on home computers of 1993 .,carmack had to make use of several tricks for these features to run smoothly on home computers of 1993,carmack have to make use of several trick for these feature to run smoothly on home computer of 1993
en-doc6047-sent64,"['Dürer' 'based' 'these' 'constructions' 'on' 'both' 'Vitruvius' 'and'
 'empirical' 'observations' 'of' ',' '""' 'two' 'to' 'three' 'hundred'
 'living' 'persons,' '""' 'in' 'his' 'own' 'words' '.']",[2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Dürer based these constructions on both Vitruvius and empirical observations of , "" two to three hundred living persons, "" in his own words .",d rer based these constructions on both vitruvius and empirical observations of two to three hundred living persons in his own words,d rer base these construction on both vitruvius and empirical observation of two to three hundred living person in his own word
en-doc6264-sent51,"['A' 'series' 'of' 'incidents' 'in' 'the' '1960s' 'marked' 'the'
 'intensification' 'of' 'Argentine' 'sovereignty' 'claims' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],A series of incidents in the 1960s marked the intensification of Argentine sovereignty claims .,a series of incidents in the 1960s marked the intensification of argentine sovereignty claims,a series of incident in the 1960 mark the intensification of argentine sovereignty claim
en-doc6298-sent9,"['He' 'played' '""' 'Faceman' '""' 'from' '1982' 'to' '1986' '(' 'although'
 'the' 'series' 'did' ""n't"" 'air' 'until' 'January' '1983' ',' 'and' 'the'
 'final' 'episode' 'was' ""n't"" 'shown' 'until' '1987' 're-runs' ')' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"He played "" Faceman "" from 1982 to 1986 ( although the series did n't air until January 1983 , and the final episode was n't shown until 1987 re-runs ) .",he played faceman from 1982 to 1986 although the series did n t air until january 1983 and the final episode was n t shown until 1987 re runs,he play faceman from 1982 to 1986 although the series do n t air until january 1983 and the final episode be n t show until 1987 re run
en-doc6430-sent120,['Further' 'AVE' 'routes' 'are' 'under' 'construction' '.'],[0 1 0 0 0 0 0],Further AVE routes are under construction .,further ave routes are under construction,far ave route be under construction
en-doc6405-sent28,"['Work' 'continued' 'on' 'the' 'downhill' 'side' 'towards' 'the' 'Hudson'
 ',' 'and' 'when' 'the' 'marsh' 'froze' 'in' 'winter' ',' 'the' 'crews'
 'worked' 'to' 'complete' 'the' 'section' 'across' 'the' 'swamps' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"Work continued on the downhill side towards the Hudson , and when the marsh froze in winter , the crews worked to complete the section across the swamps .",work continued on the downhill side towards the hudson and when the marsh froze in winter the crews worked to complete the section across the swamps,work continue on the downhill side towards the hudson and when the marsh freeze in winter the crew work to complete the section across the swamp
en-doc6128-sent27,"['The' 'elders' 'suggest' 'agreeing' 'with' 'the' 'people' ""'s"" 'wishes'
 ',' 'but' 'Rehoboam' 'decides' 'to' 'go' 'with' 'the' 'advice' 'of' 'the'
 'youths' ',' 'namely' 'to' 'enforce' 'even' 'heavier' 'servitude' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The elders suggest agreeing with the people 's wishes , but Rehoboam decides to go with the advice of the youths , namely to enforce even heavier servitude .",the elders suggest agreeing with the people s wishes but rehoboam decides to go with the advice of the youths namely to enforce even heavier servitude,the elder suggest agree with the people s wish but rehoboam decide to go with the advice of the youth namely to enforce even heavy servitude
en-doc6123-sent41,"['Russell' ""'s"" 'eldest' 'son' ',' 'John' ',' 'suffered' 'from' 'serious'
 'mental' 'illness' ',' 'which' 'was' 'the' 'source' 'of' 'ongoing'
 'disputes' 'between' 'Russell' 'and' 'John' ""'s"" 'mother' ',' 'Russell'
 ""'s"" 'former' 'wife' ',' 'Dora' '.']",[2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0],"Russell 's eldest son , John , suffered from serious mental illness , which was the source of ongoing disputes between Russell and John 's mother , Russell 's former wife , Dora .",russell s eldest son john suffered from serious mental illness which was the source of ongoing disputes between russell and john s mother russell s former wife dora,russell s eld son john suffer from serious mental illness which be the source of ongoing dispute between russell and john s mother russell s former wife dora
en-doc6376-sent25,"['The' 'musical' 'debuted' 'at' 'Tokyo' 'Metropolitan' 'Art' 'Space' 'on'
 'September' '4' ',' '2008' 'running' 'through' 'September' '14' '.']",[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0],"The musical debuted at Tokyo Metropolitan Art Space on September 4 , 2008 running through September 14 .",the musical debuted at tokyo metropolitan art space on september 4 2008 running through september 14,the musical debut at tokyo metropolitan art space on september 4 2008 run through september 14
en-doc5949-sent30,"['Downey' 'was' 'supposed' 'to' 'grab' 'her' 'arm' 'and' 'twist' 'but'
 'twisted' 'too' 'hard' '.']",[2 0 0 0 0 0 0 0 0 0 0 0 0 0],Downey was supposed to grab her arm and twist but twisted too hard .,downey was supposed to grab her arm and twist but twisted too hard,downey be suppose to grab her arm and twist but twist too hard
en-doc5979-sent368,"['As' 'well' ',' 'utility' 'player' 'Mark' 'Loretta' 'accepted' 'Houston'
 ""'s"" 'salary' 'arbitration' '.']",[0 0 0 0 0 2 2 0 4 0 0 0 0],"As well , utility player Mark Loretta accepted Houston 's salary arbitration .",as well utility player mark loretta accepted houston s salary arbitration,as well utility player mark loretta accept houston s salary arbitration
en-doc6353-sent13,"['The' 'counting' 'of' 'possible' 'isomers' 'for' 'diderivatives' 'was'
 'however' 'criticized' 'by' 'Albert' 'Ladenburg' ',' 'a' 'former'
 'student' 'of' 'Kekulé' ',' 'who' 'argued' 'that' 'Kekulé' ""'s"" '1865'
 'structure' 'implied' 'two' 'distinct' '""' 'ortho' '""' 'structures' ','
 'depending' 'on' 'whether' 'the' 'substituted' 'carbons' 'are'
 'separated' 'by' 'a' 'single' 'or' 'a' 'double' 'bond' '.']","[0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","The counting of possible isomers for diderivatives was however criticized by Albert Ladenburg , a former student of Kekulé , who argued that Kekulé 's 1865 structure implied two distinct "" ortho "" structures , depending on whether the substituted carbons are separated by a single or a double bond .",the counting of possible isomers for diderivatives was however criticized by albert ladenburg a former student of kekul who argued that kekul s 1865 structure implied two distinct ortho structures depending on whether the substituted carbons are separated by a single or a double bond,the counting of possible isomer for diderivative be however criticize by albert ladenburg a former student of kekul who argue that kekul s 1865 structure imply two distinct ortho structure depend on whether the substitute carbon be separate by a single or a double bond
en-doc6060-sent1,"['The' 'Ethnologue' 'lists' 'a' 'total' 'of' '14' ',' 'but' 'the' 'number'
 'varies' 'between' 'seven' 'and' 'seventeen' 'depending' 'on' 'the'
 'classification' 'scheme' 'followed' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The Ethnologue lists a total of 14 , but the number varies between seven and seventeen depending on the classification scheme followed .",the ethnologue lists a total of 14 but the number varies between seven and seventeen depending on the classification scheme followed,the ethnologue list a total of 14 but the number vary between seven and seventeen depend on the classification scheme follow
en-doc5894-sent5,"['Depeche' 'Mode' ""'s"" 'origins' 'date' 'back' 'to' '1977' ',' 'when'
 'Vince' 'Clarke' 'and' 'Andrew' 'Fletcher' 'formed' 'a' 'band' 'called'
 'No' 'Romance' 'in' 'China' ',' 'with' 'Clarke' 'on' 'vocals' 'and'
 'guitar' 'and' 'Fletcher' 'on' 'bass' '.']",[4 4 0 0 0 0 0 0 0 0 2 2 0 2 2 0 0 0 0 4 4 4 4 0 0 2 0 0 0 0 0 2 0 0 0],"Depeche Mode 's origins date back to 1977 , when Vince Clarke and Andrew Fletcher formed a band called No Romance in China , with Clarke on vocals and guitar and Fletcher on bass .",depeche mode s origins date back to 1977 when vince clarke and andrew fletcher formed a band called no romance in china with clarke on vocals and guitar and fletcher on bass,depeche mode s origin date back to 1977 when vince clarke and andrew fletcher form a band call no romance in china with clarke on vocal and guitar and fletcher on bass
en-doc6115-sent19,"['Sadly' 'Masaccio' 'died' 'at' '27' ',' 'leaving' 'the' 'work'
 'unfinished' '.']",[0 2 0 0 0 0 0 0 0 0 0],"Sadly Masaccio died at 27 , leaving the work unfinished .",sadly masaccio died at 27 leaving the work unfinished,sadly masaccio die at 27 leave the work unfinished
en-doc6170-sent80,"['This' 'table' 'displays' 'the' 'Oscar' 'nominations' 'for' 'Mr.'
 'Coppola' '.']",[0 0 0 0 0 0 0 0 2 0],This table displays the Oscar nominations for Mr. Coppola .,this table displays the oscar nominations for mr coppola,this table display the oscar nomination for mr coppola
en-doc6089-sent0,"['He' 'was' 'the' 'Republican' 'candidate' 'in' 'the' '1916' 'U.S.'
 'Presidential' 'election' ',' 'losing' 'to' 'Woodrow' 'Wilson' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0],"He was the Republican candidate in the 1916 U.S. Presidential election , losing to Woodrow Wilson .",he was the republican candidate in the 1916 u s presidential election losing to woodrow wilson,he be the republican candidate in the 1916 u s presidential election lose to woodrow wilson
en-doc6281-sent6,"['This' 'system' 'began' 'in' '841' 'BCE' 'during' 'the' 'Zhou' 'dynasty'
 '.']",[0 0 0 0 0 0 0 0 0 0 0],This system began in 841 BCE during the Zhou dynasty .,this system began in 841 bce during the zhou dynasty,this system begin in 841 bce during the zhou dynasty
en-doc5868-sent14,"['The' 'modern-day' 'Xfce' 'used' 'to' 'take' 'part' 'of' 'its'
 'look-and-feel' 'from' 'the' 'CDE' 'environment' ',' 'but' 'no' 'longer'
 'does' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"The modern-day Xfce used to take part of its look-and-feel from the CDE environment , but no longer does .",the modern day xfce used to take part of its look and feel from the cde environment but no longer does,the modern day xfce use to take part of its look and feel from the cde environment but no long do
en-doc6250-sent22,['Solinus' 'embraces' 'the' 'account' 'of' 'Plinius' '.'],[2 0 0 0 0 2 0],Solinus embraces the account of Plinius .,solinus embraces the account of plinius,solinus embrace the account of plinius
en-doc5831-sent32,"['The' 'day' 'started' 'with' 'a' 'procession' 'of' 'eight' 'trains'
 'setting' 'out' 'from' 'Liverpool' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0],The day started with a procession of eight trains setting out from Liverpool .,the day started with a procession of eight trains setting out from liverpool,the day start with a procession of eight train set out from liverpool
en-doc5979-sent11,"['Colt' 'Stadium' 'was' 'built' 'on' 'the' 'same' 'land' 'that' 'would'
 'eventually' 'hold' 'its' 'famous' 'successor' '.']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],Colt Stadium was built on the same land that would eventually hold its famous successor .,colt stadium was built on the same land that would eventually hold its famous successor,colt stadium be build on the same land that would eventually hold its famous successor
